language group,variety name,new_name,glottocode,# of speakers,mBERT seen,UDP,POS,NER,SDQA,RCMC,NLI,TC,SC,DI,MT
basque,basque (a:amenduze),Amenduze,basq1248,-,tick,-,-,-,-,-,-,-,-,-,Amenduze
basque,basque (a:azkaine),Azkaine,basq1248,-,-,-,-,-,-,-,-,-,-,-,Azkaine
basque,basque (a:baigorri),Baigorri,basq1248,-,-,-,-,-,-,-,-,-,-,-,Baigorri
basque,basque (a:barkoxe),Barkoxe,basq1248,-,-,-,-,-,-,-,-,-,-,-,Barkoxe
basque,basque (a:donibane),Donibane,basq1248,-,-,-,-,-,-,-,-,-,-,-,Donibane
basque,basque (a:garruze),Garruze,basq1248,-,-,-,-,-,-,-,-,-,-,-,Garruze
basque,basque (a:iholdi),Iholdi,basq1248,-,-,-,-,-,-,-,-,-,-,-,Iholdi
basque,basque (a:jatsu),Jatsu,basq1248,-,-,-,-,-,-,-,-,-,-,-,Jatsu
basque,basque (a:jutsi),Jutsi,basq1248,-,-,-,-,-,-,-,-,-,-,-,Jutsi
basque,basque (a:larzabale),Larzabale,basq1248,-,-,-,-,-,-,-,-,-,-,-,Larzabale
basque,basque (a:luhuso),Luhuso,basq1248,-,-,-,-,-,-,-,-,-,-,-,Luhuso
basque,basque (a:sara),Sara,basq1248,-,-,-,-,-,-,-,-,-,-,-,Sara
basque,basque (a:senpere),Senpere,basq1248,-,-,-,-,-,-,-,-,-,-,-,Senpere
basque,basque (a:suhuskune),Suhuskune,basq1248,-,-,-,-,-,-,-,-,-,-,-,Suhuskune
basque,basque (a:uharte),Uharte,basq1248,-,-,-,-,-,-,-,-,-,-,-,Uharte
basque,navarro-labourdin basque (a:behorlegi),Behorlegi,basq1249,-,-,-,-,-,-,-,-,-,-,-,Behorlegi
basque,navarro-labourdin basque (a:bidarrai),Bidarrai,basq1249,-,-,-,-,-,-,-,-,-,-,-,Bidarrai
basque,navarro-labourdin basque (a:helete),Heleta,basq1249,-,-,-,-,-,-,-,-,-,-,-,Heleta
basque,navarro-labourdin basque (a:mugerre),Mugerre,basq1249,-,-,-,-,-,-,-,-,-,-,-,Mugerre
basque,navarro-labourdin basque (a:urruna),Urruna,basq1249,-,-,-,-,-,-,-,-,-,-,-,Urruna
basque,souletin (a:maule),Maule,basq1250,-,-,-,-,-,-,-,-,-,-,-,Maule
bengali,vanga (a:barisal),Barisal,vang1242,549031,-,-,-,-,-,-,-,-,-,-,Barisal
bengali,vanga (a:dhaka),Dhakaiya,vang1242,"44,215,107",tick,-,-,-,bengali--dhaka,-,-,-,-,-,Dhakaiya
bengali,vanga (a:jessore),Jessore,vang1242,3076144,-,-,-,-,-,-,-,-,-,-,Jessore
bengali,vanga (a:khulna),Khulna,vang1242,2984000,-,-,-,-,-,-,-,-,-,-,Khulna
bengali,vanga (a:kushtia),Kushtia,vang1242,2367000,-,-,-,-,-,-,-,-,-,-,Kushtia
bengali,vanga (a:west bengal),bengali/west bengal,vang1242,"80,176,197",tick,-,-,-,bengali--ind,-,-,-,-,-,-
circassian,adyghe,circassian/adyghe,adyg1241,500000,-,-,-,ady,-,-,-,-,-,-,-
circassian,kabardian,circassian/kabardian,kaba1278,1000000,-,-,-,kbd,-,-,-,-,-,-,-
common turkic,bashkir,ba,bash1264,1200000,tick,-,-,-,-,-,-,-,-,-,ba
common turkic,central oghuz,az,azer1255,-,-,-,-,-,-,-,-,-,-,-,az
common turkic,central oghuz (m:spoken),azerbaijani/turkish,azer1255,-,-,-,-,-,-,-,tur_Latn,tur_Latn,-,-,-
common turkic,crimean tatar,turkish/crimean tatar,crim1257,580000,-,-,-,crh,-,-,-,-,-,-,-
common turkic,kara-kalpak,kaa,kara1467,5800000,-,-,-,-,-,-,-,-,-,-,kaa
common turkic,kazakh,kk,kaza1248,-,tick,-,-,-,-,-,-,-,-,-,kk
common turkic,kirghiz,ky,kirg1245,17000000,tick,-,-,-,-,-,-,-,-,-,ky
common turkic,north azerbaijani,azerbaijani/north,nort2697,24000000,tick,-,-,az,-,-,azj_Latn,azj_Latn,-,-,-
common turkic,sakha,sah,yaku1245,480000,-,-,-,-,-,-,-,-,-,-,sah
common turkic,south azerbaijani,azerbaijani/south,sout2697,14640650,tick,-,-,azb,-,-,azb_Arab,azb_Arab,-,-,-
common turkic,turkish,turkish/turkish,nucl1301,90000000,tick,-,-,tr,-,-,-,-,-,-,tr
common turkic,uzbek,uz,uzbe1247,31000000,tick,-,-,-,-,-,-,-,-,-,uz
eastern romance,aromanian,romanian/aromanian,arom1237,210000,-,-,-,roa-rup,-,-,-,-,-,-,-
eastern romance,moldavian,romanian/moldovan,mold1248,23000000,-,-,-,mo,-,-,-,-,-,-,-
eastern romance,romanian,romanian/romanian,roma1327,23000000,tick,-,-,ro,-,-,-,-,-,-,-
eastern-western armenian,eastern armenian,armenian/armenian,nucl1235,5300000,tick,UD_Armenian-ArmTDP,UD_Armenian-ArmTDP,-,-,-,-,-,-,-,-
eastern-western armenian,western armenian,armenian/western,homs1234,1600000,-,UD_Western_Armenian-ArmTDP,UD_Western_Armenian-ArmTDP,-,-,-,-,-,-,-,-
farsic,dari,Dari,dari1249,10000000,-,-,-,-,-,-,-,-,-,-,Dari
frisian,ems-weser frisian,frisian/saterland,sate1242,2250,-,-,-,stq,-,-,-,-,-,-,-
frisian,northern frisian,frisian/northern,nort2626,10000,-,-,-,frr,-,-,-,-,-,-,-
frisian,western frisian,frisian/western,west2354,470000,tick,-,-,fy,-,-,-,-,-,-,-
gallo-italian,emiliano-romagnolo,italian/emiliano-romagnolo,emil1243,4400000,-,-,-,eml,-,-,-,-,-,-,-
gallo-italian,ligurian,italian/ligurian,ligu1248,500000,-,UD_Ligurian-GLT,UD_Ligurian-GLT,lij,-,-,lij_Latn,lij_Latn,-,-,-
gallo-italian,lombard,italian/lombard,lomb1257,3800000,tick,-,-,lmo,-,-,lmo_Latn,lmo_Latn,-,-,-
gallo-italian,piemontese,italian/piedmontese,piem1238,2000000,tick,-,-,pms,-,-,-,-,-,-,-
gallo-italian,venetian,italian/venetian,vene1258,3900000,-,-,-,vec,-,-,vec_Latn,vec_Latn,-,-,-
gallo-rhaetian,anglo-norman,french/norman,angl1258,20000,-,-,-,nrm,-,-,-,-,-,-,-
gallo-rhaetian,arpitan,italian/arpitan,fran1260,157000,-,-,-,frp,-,-,-,-,-,-,-
gallo-rhaetian,french,french/french,stan1290,68500000,tick,UD_French-ParTUT,UD_French-ParTUT,fr,-,-,-,-,-,-,-
gallo-rhaetian,french (a:paris),french/parisian,stan1290,2160000,-,UD_French-ParisStories,UD_French-ParisStories,-,-,-,-,-,-,-,-
gallo-rhaetian,friulian,italian/friulian,friu1240,420000,-,-,-,fur,-,-,fur_Latn,fur_Latn,-,-,-
gallo-rhaetian,old french (842-ca. 1400),french/old,oldf1239,antiquated,-,UD_Old_French-SRCMF,UD_Old_French-SRCMF,-,-,-,-,-,-,-,-
gallo-rhaetian,romansh,italian/romansh,roma1326,60000,-,-,-,rm,-,-,-,-,-,-,-
gallo-rhaetian,walloon,french/walloon,wall1255,600000,-,-,-,wa,-,-,-,-,-,-,-
greater panjabic,eastern panjabi,punjabi/punjabi,panj1256,113000000,tick,-,-,pa,-,-,-,-,-,-,-
greater panjabic,western panjabi,punjabi/western,west2386,80540000,tick,-,-,pnb,-,-,-,-,-,-,-
greek,apulian greek,Griko,apul1237,20000,-,-,-,-,-,-,-,-,-,-,Griko
greek,cretan,greek/cretan,cret1244,500000,-,-,-,-,-,-,-,-,-,-,Cretan
greek,cypriot greek,greek/cypriot,cypr1249,700000,-,-,-,-,-,-,-,-,-,-,-
greek,"cypriot greek (r:casual, m:written, i:fb)",greek/cypriot/fb,cypr1249,-,-,-,-,-,-,-,-,-,-,greek:cg_fb,-
greek,"cypriot greek (r:casual, m:written, i:other)",greek/cypriot/other,cypr1249,-,-,-,-,-,-,-,-,-,-,greek:cg_other,-
greek,"cypriot greek (r:casual, m:written, i:twitter)",greek/cypriot/twitter,cypr1249,-,-,-,-,-,-,-,-,-,-,greek:cg_twitter,-
greek,modern greek,greek/modern,mode1248,13000000,tick,-,-,el,-,-,-,-,-,-,-
greek,"modern greek (r:casual, m:written, i:fb)",greek/modern/fb,mode1248,-,-,-,-,-,-,-,-,-,-,greek:smg_fb,-
greek,"modern greek (r:casual, m:written, i:other)",greek/modern/other,mode1248,-,-,-,-,-,-,-,-,-,-,greek:smg_other,-
greek,"modern greek (r:casual, m:written, i:twitter)",greek/modern/twitter,mode1248,-,-,-,-,-,-,-,-,-,-,greek:smg_twitter,-
greek,pontic,greek/pontic,pont1253,778000,-,-,-,pnt,-,-,-,-,-,-,-
high german,bavarian,german/bavarian,bava1246,12000000,tick,-,-,bar,-,-,-,-,-,-,-
high german,central alemannic,german/swiss german,swis1247,10000000,-,-,-,als,-,-,-,-,-,-,-
high german,central alemannic (a:ag),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,AG
high german,central alemannic (a:ai),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,AI
high german,central alemannic (a:ar),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,AR
high german,central alemannic (a:be),german/swiss german/be,swis1247,-,-,-,-,-,-,-,-,-,-,swiss-dialects:BE,BE
high german,central alemannic (a:bl),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,BL
high german,central alemannic (a:bs),german/swiss german/bs,swis1247,-,-,-,-,-,-,-,-,-,-,swiss-dialects:BS,BS
high german,central alemannic (a:fr),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,FR
high german,central alemannic (a:gl),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,GL
high german,central alemannic (a:gr),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,GR
high german,central alemannic (a:lu),german/swiss german/lu,swis1247,-,-,-,-,-,-,-,-,-,-,swiss-dialects:LU,LU
high german,central alemannic (a:nw),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,NW
high german,central alemannic (a:ow),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,OW
high german,central alemannic (a:sg),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,SG
high german,central alemannic (a:sh),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,SH
high german,central alemannic (a:so),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,SO
high german,central alemannic (a:sz),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,SZ
high german,central alemannic (a:tg),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,TG
high german,central alemannic (a:ur),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,UR
high german,central alemannic (a:vs),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,VS
high german,central alemannic (a:zg),-,swis1247,-,-,-,-,-,-,-,-,-,-,-,ZG
high german,central alemannic (a:zh),german/swiss german/zh,swis1247,-,-,UD_Swiss_German-UZH,UD_Swiss_German-UZH,-,-,-,-,-,-,swiss-dialects:ZH,ZH
high german,central bavarian,Danube_Bavarian,cent1967,-,-,-,-,-,-,-,-,-,-,-,Danube_Bavarian
high german,german,german/german,stan1295,111800000,tick,UD_German-LIT,UD_German-LIT,de,-,-,-,-,-,-,-
high german,kölsch,dutch/colognian,kols1241,250000,-,-,-,ksh,-,-,-,-,-,-,-
high german,limburgan,dutch/limburgish,limb1263,1300000,-,-,-,li,-,-,lim_Latn,lim_Latn,-,-,-
high german,luxemburgish,dutch/luxembourgish,luxe1243,390000,tick,-,-,lb,-,-,ltz_Latn,ltz_Latn,-,-,-
high german,pennsylvania german,german/pennsylvania,penn1240,300000,-,-,-,pdc,-,-,-,-,-,-,-
high german,pfaelzisch-lothringisch,german/palatine,pala1330,400000,-,-,-,pfl,-,-,-,-,-,-,-
high german,upper saxon,Saxony,uppe1465,2000000,-,-,-,-,-,-,-,-,-,-,Saxony
hindustani,fiji hindi,hindi/fiji,fiji1242,380000,-,-,-,hif,-,-,-,-,-,-,-
hindustani,hindi,hindi/hindi,hind1269,592000000,tick,-,-,hi,-,-,-,-,-,-,-
inuit,alaskan inupiaq,inuit/inupiaq,inup1234,1250,-,-,-,ik,-,-,-,-,-,-,-
inuit,kalaallisut,inuit/kalaallisut,kala1399,50000,-,-,-,kl,-,-,-,-,-,-,-
italian romance,continental southern italian,italian/neapolitan,neap1235,5700000,-,UD_Neapolitan-RB,UD_Neapolitan-RB,nap,-,-,-,-,-,-,-
italian romance,italian,italian/italian,ital1282,61100000,tick,UD_Italian-PUD,UD_Italian-PUD,it,-,-,ita_Latn,ita_Latn,-,-,-
italian romance,italian (a:abruzzo),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Abruzzo
italian romance,italian (a:basilicata),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Basilicata
italian romance,italian (a:calabria),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Calabria
italian romance,italian (a:campania),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Campania
italian romance,italian (a:emilia-romagna),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Emilia-Romagna
italian romance,italian (a:friuli-venezia giulia),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Friuli-Venezia Giulia
italian romance,italian (a:lazio),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Lazio
italian romance,italian (a:liguria),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Liguria
italian romance,italian (a:lombardia),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Lombardia
italian romance,italian (a:marche),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Marche
italian romance,italian (a:molise),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Molise
italian romance,italian (a:piemonte),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Piemonte
italian romance,italian (a:puglia),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Puglia
italian romance,italian (a:sardegna),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Sardegna
italian romance,italian (a:sicilia),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Sicilia
italian romance,italian (a:toscana),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Toscana
italian romance,italian (a:trentino-alto adige/südtirol),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Trentino-Alto Adige/Südtirol
italian romance,italian (a:umbria),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Umbria
italian romance,italian (a:unknown),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Unknown
italian romance,italian (a:veneto),-,ital1282,-,-,-,-,-,-,-,-,-,-,-,Veneto
italian romance,"italian (r:casual, m:written, i:tweet)",italian/italian/tweet,ital1282,-,tick,UD_Italian-PoSTWITA,UD_Italian-PoSTWITA,-,-,-,-,-,-,-,-
italian romance,"italian (r:formal, m:written, i:essay)",italian/italian/essay,ital1282,-,tick,UD_Italian-MarkIT,UD_Italian-MarkIT,-,-,-,-,-,-,-,-
italian romance,"italian romance (a:apulia, m:spoken, i:tarantino)",italian/tarantino,-,220000,-,-,-,roa-tara,-,-,-,-,-,-,-
italian romance,sicilian,italian/sicilian,sici1248,4700000,tick,-,-,scn,-,-,scn_Latn,scn_Latn,-,-,-
komi,komi,komi/komi,komi1267,1000000,-,-,-,kv,-,-,-,-,-,-,-
komi,komi-permyak,komi/permyak,komi1269,63000,-,UD_Komi_Permyak-UH,UD_Komi_Permyak-UH,koi,-,-,-,-,-,-,-
komi,komi-zyrian (m:spoken),komi/zyrian/dialectal,komi1268,99609,-,UD_Komi_Zyrian-IKDP,UD_Komi_Zyrian-IKDP,-,-,-,-,-,-,-,-
komi,komi-zyrian (m:written),komi/zyrian/written,komi1268,99609,-,UD_Komi_Zyrian-Lattice,UD_Komi_Zyrian-Lattice,-,-,-,-,-,-,-,-
korean,"korean (a:south-eastern, m:spoken)",korean/southern,kore1280,13000000,-,-,-,-,korean--kors,-,-,-,-,-,-
korean,seoul (m:spoken),korean/seoul,seou1239,"51,757,637",tick,-,-,-,korean--korn,-,-,-,-,-,-
kurdish,central kurdish,kurdish/central,cent1972,7250000,-,-,-,ckb,-,-,ckb_Arab,ckb_Arab,-,-,-
kurdish,kurdish,kurdish/kurdish,kurd1259,30000000,-,-,-,ku,-,-,-,-,-,-,-
kurdish,northern kurdish,kurdish/northern,nort2641,15000000,-,-,-,-,-,-,kmr_Latn,kmr_Latn,-,-,-
kurdish,sine'i,Sine,sine1239,-,-,-,-,-,-,-,-,-,-,-,Sine
kurdish,sorani,Mehabad,sora1257,-,-,-,-,-,-,-,-,-,-,-,Mehabad
latvian,east latvian,latvian/latgalian,east2282,200000,-,-,-,ltg,-,-,ltg_Latn,ltg_Latn,-,-,-
latvian,latvian,latvian/latvian,latv1249,1700000,tick,-,-,lv,-,-,lvs_Latn,lvs_Latn,-,-,-
mari,eastern mari,mari/eastern,east2328,470000,-,-,-,mhr,-,-,-,-,-,-,-
mari,western mari,mari/western,west2392,30000,-,-,-,mrj,-,-,-,-,-,-,-
modern dutch,dutch,dutch/dutch,dutc1256,25000000,tick,-,-,nl,-,-,nld_Latn,nld_Latn,-,-,-
modern dutch,western flemish,dutch/west flemish,vlaa1240,1400000,-,-,-,vls,-,-,-,-,-,-,-
modern dutch,zeeuws,dutch/zeelandic,zeeu1238,220000,-,-,-,zea,-,-,-,-,-,-,-
neva,central and north pohjanmaa (a:ostrobothnian),finnish/murre-poh,cent1985,-,-,-,murre-POH,-,-,-,-,-,-,-,-
neva,estonian,finnish/estonian,esto1258,1200000,tick,-,UD_Estonian-EDT,-,-,-,-,-,-,-,-
neva,finnish,finnish/finnish,finn1318,5000000,tick,-,UD_Finnish-TDT,-,-,-,-,-,-,-,-
neva,häme (a:tavastian),finnish/murre-häm,hame1240,-,-,-,murre-HÄM,-,-,-,-,-,-,-,-
neva,neva (a:south-west trans),finnish/murre-lou,-,-,-,-,murre-LOU,-,-,-,-,-,-,-,-
neva,savo (a:savonian),finnish/murre-sav,savo1254,-,-,-,murre-SAV,-,-,-,-,-,-,-,-
neva,southeastern finnish (a:south-east),finnish/murre-kaa,sout1743,-,-,-,murre-KAA,-,-,-,-,-,-,-,-
neva,southwestern finnish (a:south-west),finnish/murre-lvä,sout2677,-,-,-,murre-LVÄ,-,-,-,-,-,-,-,-
norwegian,norwegian,norwegian/norwegian,norw1258,4320000,tick,-,-,-,-,-,-,-,-,-,-
norwegian,norwegian (a:eastern),Eastern,norw1258,-,-,-,-,-,-,-,-,-,-,-,Eastern
norwegian,norwegian (a:setesdal),Setesdal,norw1258,-,-,-,-,-,-,-,-,-,-,-,Setesdal
norwegian,norwegian (a:southwestern),Southwestern,norw1258,-,-,-,-,-,-,-,-,-,-,-,Southwestern
norwegian,"norwegian (m:written, i:samnorsk)",norwegian/samnorsk,-,antiquated,-,-,-,samnorsk,-,-,-,-,-,-,-
norwegian,norwegian bokmål (m:written),norwegian/bokmaal,norw1259,written only,tick,UD_Norwegian-Bokmaal,UD_Norwegian-Bokmaal,bokmaal,-,-,nob_Latn,nob_Latn,-,-,-
norwegian,norwegian nynorsk (m:written),norwegian/nynorsk,norw1262,written only,tick,UD_Norwegian-Nynorsk,UD_Norwegian-Nynorsk,nynorsk,-,-,nno_Latn,nno_Latn,-,-,-
norwegian,"norwegian nynorsk (m:written, i:old)",norwegian/nynorsk/old,norw1262,antiquated,-,UD_Norwegian-NynorskLIA,UD_Norwegian-NynorskLIA,-,-,-,-,-,-,-,-
saami,north saami,sami/north,nort2671,25000,-,UD_North_Sami-Giella,UD_North_Sami-Giella,-,-,-,-,-,-,-,-
saami,skolt saami,sami/skolt,skol1241,330,-,UD_Skolt_Sami-Giellagas,UD_Skolt_Sami-Giellagas,-,-,-,-,-,-,-,-
